Original,Filtered
-58360.930960262536,-5361.688784542553
-57681.22407826178,-4765.48170990161
-56916.91363692058,-4088.3604498193995
-56152.53173602394,-3403.3503774846054
-55472.62291018894,-2786.9719094822126
-54943.80840857865,-2303.61903423761
-54601.591238860565,-1992.624972434039
-54445.14181796279,-1861.3038432239146
-54441.01028905156,-1885.6217093354544
-54534.26975266135,-2018.087328312502
-54663.71413128162,-2200.562737890408
-54776.90609241912,-2378.5057716442275
-54841.25489679408,-2512.974922379177
-54848.69794196924,-2587.551234417998
-54813.48988245372,-2608.872937248035
-54764.48381189218,-2601.2597656390917
-54734.60131016788,-2597.4126892119307
-54750.62455033755,-2628.014616581925
-54825.97529096329,-2713.0551776276857
-54958.00499399482,-2856.9399471454126
-55129.90485895584,-3048.2122183234687
-55316.08758441569,-3263.4080416293186
-55489.12774290927,-3473.5541697183094
-55626.22803684423,-3651.3451887010715
-55713.64580011559,-3777.1554070499556
-55748.344361954056,-3842.6284634906374
-55737.02331024465,-3851.400767468673
-55693.35113760748,-3817.2847024471644
-55634.50351935953,-3760.7559554122286
-55577.98392885206,-3704.765614588837
-55539.291601133606,-3670.7678314520267
-55530.51430788687,-3675.5456567562387
-55559.56134928896,-3729.088334466403
-55629.650895873485,-3833.545156314895
-55738.83269995407,-3983.198846296091
-55879.65243622515,-4165.426338396373
-56039.36565239394,-4362.652927263859
-56201.20920702044,-4555.2596152090855
-56347.03597266864,-4725.223307870597
-56461.14397111096,-4859.98389934139
-56534.53861222964,-4955.744876895682
-56568.393114490544,-5019.266653601921
-56575.34465871297,-5067.326949464314
-56577.615794981626,-5123.44715257735
-56601.75158561966,-5212.155857508821
-56670.81431081929,-5351.814482754605
-56795.8569388532,-5547.63806053502
-56969.06284318022,-5786.789641155807
-57160.84446996098,-6037.176023044169
-57322.38133062568,-6250.829876057354
-57393.71652391079,-6371.683142265784
-57315.98255523083,-6346.389022350957
-57045.042914113495,-6135.9476961866
-56563.21555293716,-5725.49925550739
-55886.01520076678,-5129.903360564651
-55061.97605753027,-4393.593357036106
-54165.30933324296,-3584.469525867258
-53282.94620333901,-2782.9639737991934
-52498.9185464962,-2068.523061821315
-51879.64866885568,-1506.3336943724112
-51463.40036990411,-1137.0299439090986
-51256.00565297433,-971.3936970682399
-51233.35895000491,-990.9035110076192
-51349.53730541835,-1153.6863871125395
-51548.19339606579,-1404.3025154091756
-51774.36512946662,-1685.0942250951377
-51984.11240116279,-1946.6859206143235
-52150.265293610224,-2155.6164668010924
-52263.73480736484,-2297.87866742157
-52330.94167573509,-2378.1146377114533
-52368.68015422731,-2415.1384599894113
-52398.01637629562,-2435.137666847784
-52438.65710331543,-2464.23093085803
-52504.7692020585,-2522.0095357781615
-52602.68948466179,-2617.3221682968638
-52730.51041024427,-2746.985681940927
-52879.24739190158,-2897.449197031465
-53035.1785403724,-3048.8305153234014
-53182.9214913968,-3180.2852583982326
-53308.7917975207,-3275.4320706098333
-53403.92964716102,-3326.57806909443
-53466.61308881987,-3336.765626494172
-53503.17843812752,-3319.1512913360434
-53527.12921438275,-3293.8445222575915
-53556.37646948946,-3282.9556431927203
-53609.06582584768,-3305.087072367308
-53698.96644943428,-3370.716878289791
-53831.72941545667,-3479.78230437896
-54003.29015862844,-3622.2658387612228
-54201.216023795176,-3781.808402789653
-54408.958192384205,-3941.5045018285373
-54611.98306405536,-4090.3072576416953
-54803.95139322223,-4228.114049878448
-54990.79221236532,-4367.766155512956
-55190.87188121321,-4532.8952763514635
-55430.46849213371,-4751.646834384015
-55735.18452929973,-5047.530826997873
-56119.35344429808,-5429.654433957634
-56576.45575626374,-5885.062028938311
-57073.69630785295,-6375.657069179798
-57553.071221459344,-6841.208068947613
-57939.62877069048,-7208.457774710021
-58155.627910292,-7404.734692393502
-58137.49332548092,-7373.149467147956
-57851.41018608189,-7085.8280906069585
-57303.45541335682,-6551.900964668114
-56541.370395960505,-5818.102246557991
-55647.14650019307,-4961.565920890378
-54721.95761382752,-4076.2885030139396
-53866.96942460348,-3256.2660968996065
-53164.61840885834,-2579.096169749991
-52664.772593702815,-2093.6561808619867
-52378.8273529608,-1814.3888054379509
-52282.644751597785,-1723.039024782569
-52326.9358250771,-1776.8617923174131
-52451.86534710808,-1920.8362294850076
-52601.81964281557,-2100.6581213529093
-52736.60861616536,-2273.398795422771
-52836.71153602992,-2413.627195161033
-52902.06918888392,-2514.1915175094405
-52945.78507341199,-2582.3289957423854
-52985.380250661445,-2632.9087175987784
-53034.61670352536,-2681.1304790243116
-53098.33225555948,-2736.8192417090527
-53171.47528370301,-2801.6946497039207
-53242.043956408095,-2869.938043155325
-53296.4091771341,-2931.3644012556524
-53324.899039780255,-2975.8255069826323
-53325.67743707116,-2997.28489788702
-53305.73655944024,-2996.309864058305
-53278.91865908125,-2980.3678320218423
-53261.89183440405,-2962.0557681292544
-53269.592543124425,-2955.992153118246
-53311.65834301105,-2975.3963837946826
-53390.85921949362,-3029.3232658721063
-53503.73115548586,-3121.1827015967265
-53642.8353571241,-3248.7089974309115
-53799.59093785195,-3405.12120193109
-53966.60081578586,-3580.963814924162
-54138.77576213495,-3766.0826689188884
-54313.16886506535,-3951.3332591094013
-54488.0014501346,-4129.838125162022
-54661.65689339143,-4297.793709428533
-54832.33181926485,-4454.898911800369
-54998.61300720195,-4604.426594378719
-55160.68324845149,-4752.841465339438
-55321.40115447699,-4908.777913831826
-55486.36375879165,-5081.218484093309
-55662.33840502014,-5276.89736660953
-55854.066985447,-5497.259122053754
-56060.18467514589,-5735.627535574121
-56269.57401221265,-5975.445319139469
-56459.64511266256,-6190.4123256173025
-56597.67883858072,-6347.02645674003
-56645.5568928963,-6409.464475128666
-56567.16505179043,-6346.07140537423
-56336.82197667656,-6136.155769717347
-55946.57284100911,-5775.506905918255
-55410.29195205955,-5279.182546990433
-54763.264172954594,-4680.66451333209
-54057.07494480012,-4027.3238675833627
-53350.89147066558,-3373.0519420503647
-52701.196173429584,-2769.6433669410353
-52152.4457537019,-2258.8477772147717
-51730.8473295791,-1866.8345862919011
-51442.5585160826,-1602.1812410768368
-51276.39445006866,-1457.5761561277664
-51209.92657121424,-1414.4832695812818
-51217.03014324744,-1449.3120127839356
-51274.70796310366,-1539.3666013983852
-51367.42589093309,-1667.0730859616738
-51488.0868583021,-1821.6152869710656
-51635.85465653795,-1997.9470208415107
-51811.97854823935,-2193.9300695515767
-52015.28893237595,-2406.8442258032724
-52238.99863738067,-2630.593366610143
-52469.897248106994,-2854.59061580225
-52690.16705176805,-3064.67661950239
-52881.16620721789,-3245.7220320032384
-53027.89912704355,-3385.0158681495523
-53122.71090937096,-3475.313292099148
-53167.04263327805,-3516.566791949617
-53170.74662380287,-3515.825860147843
-53149.25658235859,-3485.3965053814095
-53119.57247334243,-3439.897031253204
